context,question,answer,start_positions,end_positions
"Апаттан кейінгі күндерде, зақымдалған ғимараттарды алдын-ала алдын-ала зерттеу үшін облысқа инженерлердің халықаралық ғылыми-зерттеу тобы жіберілді.Олардың тұжырымдары көптеген құрылыстардың жер сілкінісіне төтеп бере алмайтындығының әртүрлі себептерін көрсетеді.",Инженерлер командасы не істеді?,Зақымдалған ғимараттарды алдын-ала зерттеу,pass,pass
"Апаттан кейінгі күндерде, зақымдалған ғимараттарды алдын-ала алдын-ала зерттеу үшін облысқа инженерлердің халықаралық ғылыми-зерттеу тобы жіберілді.Олардың тұжырымдары көптеген құрылыстардың жер сілкінісіне төтеп бере алмайтындығының әртүрлі себептерін көрсетеді.",Олардың тұжырымдары нені көрсетті?,Көптеген құрылыстардың жер сілкінісіне төтеп бермеуінің әртүрлі себептері.,pass,pass
"Апаттан кейінгі күндерде, зақымдалған ғимараттарды алдын-ала алдын-ала зерттеу үшін облысқа инженерлердің халықаралық ғылыми-зерттеу тобы жіберілді.Олардың тұжырымдары көптеген құрылыстардың жер сілкінісіне төтеп бере алмайтындығының әртүрлі себептерін көрсетеді.",Жер сілкінісінен кейін бұл аймаққа қандай халықаралық команда жіберілді?,Инженерлер командасы,pass,pass
"Апаттан кейінгі күндерде, зақымдалған ғимараттарды алдын-ала алдын-ала зерттеу үшін облысқа инженерлердің халықаралық ғылыми-зерттеу тобы жіберілді.Олардың тұжырымдары көптеген құрылыстардың жер сілкінісіне төтеп бере алмайтындығының әртүрлі себептерін көрсетеді.",Команда Қытайға не жіберді?,Зақымдалған ғимараттарды зерттеу,pass,pass
"Апаттан кейінгі күндерде, зақымдалған ғимараттарды алдын-ала алдын-ала зерттеу үшін облысқа инженерлердің халықаралық ғылыми-зерттеу тобы жіберілді.Олардың тұжырымдары көптеген құрылыстардың жер сілкінісіне төтеп бере алмайтындығының әртүрлі себептерін көрсетеді.",Олардың нәтижелері қандай себептермен көрсетіледі?,Себептердің алуан түрлілігі,pass,pass
"Жаңалықтардың есептері кедей, ауылдық ауылдар қатты соққы болғанын көрсетеді.Сваминатан Кришнан, Калифорния технологиялық институтының құрылыс-инженерия және геофизика кафедрасының доценті: «Қытайдың ауылында жер сілкінісі болды.Шынында, көптеген ғимараттар салынды;Олар дизаймады, сондықтан сөйлеу үшін.«Сваминатан Кришнан» тағы бір қосты: «Қытайда өте күшті құрылыс кодтары бар, олар жер сілкінісі және сейсмикалық жобалау мәселелерін шешеді.Бірақ бұл ғимараттардың көпшілігі айтарлықтай қартайып, оларды басқаратын кез-келген ережелермен салынбаған болуы мүмкін.Беру",Қандай аймақтар ең қиын болды?,"Кедей, ауыл ауылдары",pass,pass
"Жаңалықтардың есептері кедей, ауылдық ауылдар қатты соққы болғанын көрсетеді.Сваминатан Кришнан, Калифорния технологиялық институтының құрылыс-инженерия және геофизика кафедрасының доценті: «Қытайдың ауылында жер сілкінісі болды.Шынында, көптеген ғимараттар салынды;Олар дизаймады, сондықтан сөйлеу үшін.«Сваминатан Кришнан» тағы бір қосты: «Қытайда өте күшті құрылыс кодтары бар, олар жер сілкінісі және сейсмикалық жобалау мәселелерін шешеді.Бірақ бұл ғимараттардың көпшілігі айтарлықтай қартайып, оларды басқаратын кез-келген ережелермен салынбаған болуы мүмкін.Беру",Калифорния технологиялық институтында құрылыс және геофизика кафедрасының доценті кім болды?,Сваминатан Кришнан,77,95
"Жаңалықтардың есептері кедей, ауылдық ауылдар қатты соққы болғанын көрсетеді.Сваминатан Кришнан, Калифорния технологиялық институтының құрылыс-инженерия және геофизика кафедрасының доценті: «Қытайдың ауылында жер сілкінісі болды.Шынында, көптеген ғимараттар салынды;Олар дизаймады, сондықтан сөйлеу үшін.«Сваминатан Кришнан» тағы бір қосты: «Қытайда өте күшті құрылыс кодтары бар, олар жер сілкінісі және сейсмикалық жобалау мәселелерін шешеді.Бірақ бұл ғимараттардың көпшілігі айтарлықтай қартайып, оларды басқаратын кез-келген ережелермен салынбаған болуы мүмкін.Беру",Жер сілкінісі Қытайдың қай бөлігінде болды?,ауылдық бөлігі,pass,pass
"Жаңалықтардың есептері кедей, ауылдық ауылдар қатты соққы болғанын көрсетеді.Сваминатан Кришнан, Калифорния технологиялық институтының құрылыс-инженерия және геофизика кафедрасының доценті: «Қытайдың ауылында жер сілкінісі болды.Шынында, көптеген ғимараттар салынды;Олар дизаймады, сондықтан сөйлеу үшін.«Сваминатан Кришнан» тағы бір қосты: «Қытайда өте күшті құрылыс кодтары бар, олар жер сілкінісі және сейсмикалық жобалау мәселелерін шешеді.Бірақ бұл ғимараттардың көпшілігі айтарлықтай қартайып, оларды басқаратын кез-келген ережелермен салынбаған болуы мүмкін.Беру","Сваминатан Кришнан қандай болды, ол ғимараттардың жай салынғанын айтқан кезде нені білдірді?",Жобаланбаған,pass,pass
"Жаңалықтардың есептері кедей, ауылдық ауылдар қатты соққы болғанын көрсетеді.Сваминатан Кришнан, Калифорния технологиялық институтының құрылыс-инженерия және геофизика кафедрасының доценті: «Қытайдың ауылында жер сілкінісі болды.Шынында, көптеген ғимараттар салынды;Олар дизаймады, сондықтан сөйлеу үшін.«Сваминатан Кришнан» тағы бір қосты: «Қытайда өте күшті құрылыс кодтары бар, олар жер сілкінісі және сейсмикалық жобалау мәселелерін шешеді.Бірақ бұл ғимараттардың көпшілігі айтарлықтай қартайып, оларды басқаратын кез-келген ережелермен салынбаған болуы мүмкін.Беру",Қытайда құрылыс кодтарының қандай әдісі бар?,Өте күшті,pass,pass
"Жаңалықтардың есептері кедей, ауылдық ауылдар қатты соққы болғанын көрсетеді.Сваминатан Кришнан, Калифорния технологиялық институтының құрылыс-инженерия және геофизика кафедрасының доценті: «Қытайдың ауылында жер сілкінісі болды.Шынында, көптеген ғимараттар салынды;Олар дизаймады, сондықтан сөйлеу үшін.«Сваминатан Кришнан» тағы бір қосты: «Қытайда өте күшті құрылыс кодтары бар, олар жер сілкінісі және сейсмикалық жобалау мәселелерін шешеді.Бірақ бұл ғимараттардың көпшілігі айтарлықтай қартайып, оларды басқаратын кез-келген ережелермен салынбаған болуы мүмкін.Беру",Бұл ескі ғимараттардың көпшілігі не болды?,Ереже,pass,pass
"Сычуаньдағы ең ірі бес қаладан зардап шеккендердің бесеуі де жер сілкінісінен аз ғана зардап шеккендермен, экономикалық шығынның кейбір бағалары 75 миллиард доллардан жоғары, бұл қытай тарихындағы ең қымбат табиғи апаттардың бірі.",Жер сілкінісінен экономикалық шығынның бағасы қандай?,75 миллиард доллар,145,163
"Сычуаньдағы ең ірі бес қаладан зардап шеккендердің бесеуі де жер сілкінісінен аз ғана зардап шеккендермен, экономикалық шығынның кейбір бағалары 75 миллиард доллардан жоғары, бұл қытай тарихындағы ең қымбат табиғи апаттардың бірі.",Сычуань қалалары қандай зақымданды?,Кішігірім залал,pass,pass
"Сычуаньдағы ең ірі бес қаладан зардап шеккендердің бесеуі де жер сілкінісінен аз ғана зардап шеккендермен, экономикалық шығынның кейбір бағалары 75 миллиард доллардан жоғары, бұл қытай тарихындағы ең қымбат табиғи апаттардың бірі.",Экономикаға шығындар дегеніміз не?,75 миллиард АҚШ доллары,pass,pass
"Сычуаньдағы ең ірі бес қаладан зардап шеккендердің бесеуі де жер сілкінісінен аз ғана зардап шеккендермен, экономикалық шығынның кейбір бағалары 75 миллиард доллардан жоғары, бұл қытай тарихындағы ең қымбат табиғи апаттардың бірі.",Бұл тарихтағы ең қымбат апаттар кімінің бірі кім?,Қытай тарихы,pass,pass
"Сычуаньдағы ең ірі бес қаладан зардап шеккендердің бесеуі де жер сілкінісінен аз ғана зардап шеккендермен, экономикалық шығынның кейбір бағалары 75 миллиард доллардан жоғары, бұл қытай тарихындағы ең қымбат табиғи апаттардың бірі.",Сычуаньдағы қай қалаларда аз шығындар болды?,бес ірі қала,pass,pass
"Күшті қабаттағы құлыптар негізгі жер сілкінісінен бірнеше айдан кейін де соққы берді.25 мамырда 6 0 МВт (CEA сәйкес) 6 0 МВт (CEA сәйкес 6 4 мс), Сыхуань, Сычуань, Сычуань, Сычуань, 1000 адам жарақат алып, мыңдаған ғимараттарды қиратады.27 мамырда, екі 5 метр, бір-бірінен бір 5 МВт.Дәл осындай аудан 23 және 6-дан 2 және 6 және 6 және 6 және 6,0 мс.және бірнеше шақырымдық автомобиль жолдары.Пингву округі, Сычуань, Сычуань, сонымен қатар Учуанның солтүстік-шығысында және 1976 жылы 7 мс жер сілкінісіне жақын жерде, 1 тамызда сағат 6. 1 М.С. (7 МВт) зардап шекті;Бұл 2 өлімге, 345 жарақаттануға, 707 үйдің құлдырауы, 707 үйдің құлауы, 1 000-нан астам үйге зақым келеді және 25 шақырымға (16 миль) және 25 шақырымдық жолдардан тұрады.5 тамыз айының аяғында, тағы 6-дан кейін, тағы бір 1 мс (USGS сәйкес) Цинчуан, Сычуань, Сычуань, 1 өлім, 32 жарақат, 32 жарақат, телекоммуникация, телекоммуникациялық үзілістер, соның ішінде ұлттық, кең таралған слайдтартас жол.",27 мамырдан кейін қанша ғимарат құлады?,"420, 000",pass,pass
"Күшті қабаттағы құлыптар негізгі жер сілкінісінен бірнеше айдан кейін де соққы берді.25 мамырда 6 0 МВт (CEA сәйкес) 6 0 МВт (CEA сәйкес 6 4 мс), Сыхуань, Сычуань, Сычуань, Сычуань, 1000 адам жарақат алып, мыңдаған ғимараттарды қиратады.27 мамырда, екі 5 метр, бір-бірінен бір 5 МВт.Дәл осындай аудан 23 және 6-дан 2 және 6 және 6 және 6 және 6,0 мс.және бірнеше шақырымдық автомобиль жолдары.Пингву округі, Сычуань, Сычуань, сонымен қатар Учуанның солтүстік-шығысында және 1976 жылы 7 мс жер сілкінісіне жақын жерде, 1 тамызда сағат 6. 1 М.С. (7 МВт) зардап шекті;Бұл 2 өлімге, 345 жарақаттануға, 707 үйдің құлдырауы, 707 үйдің құлауы, 1 000-нан астам үйге зақым келеді және 25 шақырымға (16 миль) және 25 шақырымдық жолдардан тұрады.5 тамыз айының аяғында, тағы 6-дан кейін, тағы бір 1 мс (USGS сәйкес) Цинчуан, Сычуань, Сычуань, 1 өлім, 32 жарақат, 32 жарақат, телекоммуникация, телекоммуникациялық үзілістер, соның ішінде ұлттық, кең таралған слайдтартас жол.",25 мамырдан кейін Цинчуан округіндегі қаншалықты күшті болды?,6. 0 МВт,pass,pass
"Күшті қабаттағы құлыптар негізгі жер сілкінісінен бірнеше айдан кейін де соққы берді.25 мамырда 6 0 МВт (CEA сәйкес) 6 0 МВт (CEA сәйкес 6 4 мс), Сыхуань, Сычуань, Сычуань, Сычуань, 1000 адам жарақат алып, мыңдаған ғимараттарды қиратады.27 мамырда, екі 5 метр, бір-бірінен бір 5 МВт.Дәл осындай аудан 23 және 6-дан 2 және 6 және 6 және 6 және 6,0 мс.және бірнеше шақырымдық автомобиль жолдары.Пингву округі, Сычуань, Сычуань, сонымен қатар Учуанның солтүстік-шығысында және 1976 жылы 7 мс жер сілкінісіне жақын жерде, 1 тамызда сағат 6. 1 М.С. (7 МВт) зардап шекті;Бұл 2 өлімге, 345 жарақаттануға, 707 үйдің құлдырауы, 707 үйдің құлауы, 1 000-нан астам үйге зақым келеді және 25 шақырымға (16 миль) және 25 шақырымдық жолдардан тұрады.5 тамыз айының аяғында, тағы 6-дан кейін, тағы бір 1 мс (USGS сәйкес) Цинчуан, Сычуань, Сычуань, 1 өлім, 32 жарақат, 32 жарақат, телекоммуникация, телекоммуникациялық үзілістер, соның ішінде ұлттық, кең таралған слайдтартас жол.",25 мамырда қанша адам жарақат алды?,1000,182,186
"Күшті қабаттағы құлыптар негізгі жер сілкінісінен бірнеше айдан кейін де соққы берді.25 мамырда 6 0 МВт (CEA сәйкес) 6 0 МВт (CEA сәйкес 6 4 мс), Сыхуань, Сычуань, Сычуань, Сычуань, 1000 адам жарақат алып, мыңдаған ғимараттарды қиратады.27 мамырда, екі 5 метр, бір-бірінен бір 5 МВт.Дәл осындай аудан 23 және 6-дан 2 және 6 және 6 және 6 және 6,0 мс.және бірнеше шақырымдық автомобиль жолдары.Пингву округі, Сычуань, Сычуань, сонымен қатар Учуанның солтүстік-шығысында және 1976 жылы 7 мс жер сілкінісіне жақын жерде, 1 тамызда сағат 6. 1 М.С. (7 МВт) зардап шекті;Бұл 2 өлімге, 345 жарақаттануға, 707 үйдің құлдырауы, 707 үйдің құлауы, 1 000-нан астам үйге зақым келеді және 25 шақырымға (16 миль) және 25 шақырымдық жолдардан тұрады.5 тамыз айының аяғында, тағы 6-дан кейін, тағы бір 1 мс (USGS сәйкес) Цинчуан, Сычуань, Сычуань, 1 өлім, 32 жарақат, 32 жарақат, телекоммуникация, телекоммуникациялық үзілістер, соның ішінде ұлттық, кең таралған слайдтартас жол.",27 мамырдан кейін қанша үй жойылды?,"420, 000-нан астам",pass,pass
"Күшті қабаттағы құлыптар негізгі жер сілкінісінен бірнеше айдан кейін де соққы берді.25 мамырда 6 0 МВт (CEA сәйкес) 6 0 МВт (CEA сәйкес 6 4 мс), Сыхуань, Сычуань, Сычуань, Сычуань, 1000 адам жарақат алып, мыңдаған ғимараттарды қиратады.27 мамырда, екі 5 метр, бір-бірінен бір 5 МВт.Дәл осындай аудан 23 және 6-дан 2 және 6 және 6 және 6 және 6,0 мс.және бірнеше шақырымдық автомобиль жолдары.Пингву округі, Сычуань, Сычуань, сонымен қатар Учуанның солтүстік-шығысында және 1976 жылы 7 мс жер сілкінісіне жақын жерде, 1 тамызда сағат 6. 1 М.С. (7 МВт) зардап шекті;Бұл 2 өлімге, 345 жарақаттануға, 707 үйдің құлдырауы, 707 үйдің құлауы, 1 000-нан астам үйге зақым келеді және 25 шақырымға (16 миль) және 25 шақырымдық жолдардан тұрады.5 тамыз айының аяғында, тағы 6-дан кейін, тағы бір 1 мс (USGS сәйкес) Цинчуан, Сычуань, Сычуань, 1 өлім, 32 жарақат, 32 жарақат, телекоммуникация, телекоммуникациялық үзілістер, соның ішінде ұлттық, кең таралған слайдтартас жол.",27 мамырдан кейін қыртыста қанша адам жарақат алды?,63,pass,pass
"Күшті қабаттағы құлыптар негізгі жер сілкінісінен бірнеше айдан кейін де соққы берді.25 мамырда 6 0 МВт (CEA сәйкес) 6 0 МВт (CEA сәйкес 6 4 мс), Сыхуань, Сычуань, Сычуань, Сычуань, 1000 адам жарақат алып, мыңдаған ғимараттарды қиратады.27 мамырда, екі 5 метр, бір-бірінен бір 5 МВт.Дәл осындай аудан 23 және 6-дан 2 және 6 және 6 және 6 және 6,0 мс.және бірнеше шақырымдық автомобиль жолдары.Пингву округі, Сычуань, Сычуань, сонымен қатар Учуанның солтүстік-шығысында және 1976 жылы 7 мс жер сілкінісіне жақын жерде, 1 тамызда сағат 6. 1 М.С. (7 МВт) зардап шекті;Бұл 2 өлімге, 345 жарақаттануға, 707 үйдің құлдырауы, 707 үйдің құлауы, 1 000-нан астам үйге зақым келеді және 25 шақырымға (16 миль) және 25 шақырымдық жолдардан тұрады.5 тамыз айының аяғында, тағы 6-дан кейін, тағы бір 1 мс (USGS сәйкес) Цинчуан, Сычуань, Сычуань, 1 өлім, 32 жарақат, 32 жарақат, телекоммуникация, телекоммуникациялық үзілістер, соның ішінде ұлттық, кең таралған слайдтартас жол.",5 тамызда қай жерде кең таралған төбе слайдтары болды?,"QING киімі, өлшемі Сычуан",pass,pass
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.",Дүниежүзілік әкімші кім болды?,Вэй Гонг,pass,pass
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.",Қанша үйлер қайта құрылды?,"200, 000",pass,pass
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.",Тұрақты баспанасыз қанша үй қалды?,1. 94 млн,pass,pass
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.",Қанша мектеп қайта жаңғыртылды?,"1, 300",294,300
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.",2008 жылдың 21 қарашасында өлгендер мен жоғалған адамдар туралы кім айтты?,Вэй Гонг,pass,pass
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.","Вей Гонг айтқандай, қанша адам қайтыс болған немесе жоқ болды?","90, 000",92,99
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.",Қанша үйлер қайта құрылды?,"200, 000",pass,pass
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.",Қанша үйлер салынуда?,"685, 000",pass,pass
"Вице-губернатордың орынбасары Вай Гонг 2008 жылғы 21 қарашада растады, бұл жер сілкінісінде 90, 000-нан астам адам қайтыс болған немесе жоқ болған.Ол 200 000 үйдің қайта құрылғанын, ал 685 000-нан кейін қайта жөндеуден өтті, бірақ 1 94 миллион үй шаруашылықтары әлі де тұрақты баспанасыз қалды.1, 300 мектеп қайта құрылды, оның ішінде 25 елді мекенді, соның ішінде Бейхуан мен Венчуан, ең ауыр жердің екеуі де қайта оралды.Үкімет жеңілдік пен қайта құру жұмыстарына 441 миллиард доллар жұмсады.",Тұтас үйлерсіз қанша отбасы болды?,1. 94 млн,pass,pass
"Бас хатшы мен президент Ху Цзиньтао апаттарға жауап тез болатынын мәлімдеді.Жер сілкінісі болғаннан кейін 90 минут өткен соң, ал академиялық финалы бар, ал академиялық білімі бар, алкогольсіз, құтқару жұмыстарын бақылау үшін жер сілкінісі аймағына ұшып кетті.Көп ұзамай Денсаулық сақтау министрлігі ол Учуан округіне он жедел медициналық көмек жібергенін айтты.Сол күні Чэнду әскери аймақтық командасы Wechuan County-де апаттарды жеңілдетуге көмектесетін 50, 000 әскер мен қарулы полицияның командасы жіберілді.Алайда, рельефтің арқасында жер сілкінісі эпицентрінің жақын орналасуына және жақын аралыққа байланысты сарбаздар провинцияның ауылдық аймақтарына көмек алу өте қиын болды.","Соққыдан кейін 90 минут өткен соң, жер сілкінісінің ауданына кім ұшып кетті?",Premier Wen j IA пакеті,pass,pass
"Бас хатшы мен президент Ху Цзиньтао апаттарға жауап тез болатынын мәлімдеді.Жер сілкінісі болғаннан кейін 90 минут өткен соң, ал академиялық финалы бар, ал академиялық білімі бар, алкогольсіз, құтқару жұмыстарын бақылау үшін жер сілкінісі аймағына ұшып кетті.Көп ұзамай Денсаулық сақтау министрлігі ол Учуан округіне он жедел медициналық көмек жібергенін айтты.Сол күні Чэнду әскери аймақтық командасы Wechuan County-де апаттарды жеңілдетуге көмектесетін 50, 000 әскер мен қарулы полицияның командасы жіберілді.Алайда, рельефтің арқасында жер сілкінісі эпицентрінің жақын орналасуына және жақын аралыққа байланысты сарбаздар провинцияның ауылдық аймақтарына көмек алу өте қиын болды.",Премьер Вен Цзябао қандай болды?,Геомеханика,pass,pass
"Бас хатшы мен президент Ху Цзиньтао апаттарға жауап тез болатынын мәлімдеді.Жер сілкінісі болғаннан кейін 90 минут өткен соң, ал академиялық финалы бар, ал академиялық білімі бар, алкогольсіз, құтқару жұмыстарын бақылау үшін жер сілкінісі аймағына ұшып кетті.Көп ұзамай Денсаулық сақтау министрлігі ол Учуан округіне он жедел медициналық көмек жібергенін айтты.Сол күні Чэнду әскери аймақтық командасы Wechuan County-де апаттарды жеңілдетуге көмектесетін 50, 000 әскер мен қарулы полицияның командасы жіберілді.Алайда, рельефтің арқасында жер сілкінісі эпицентрінің жақын орналасуына және жақын аралыққа байланысты сарбаздар провинцияның ауылдық аймақтарына көмек алу өте қиын болды.",Цзябао аймақта не істеді?,Құтқару жұмыстары,pass,pass
"Бас хатшы мен президент Ху Цзиньтао апаттарға жауап тез болатынын мәлімдеді.Жер сілкінісі болғаннан кейін 90 минут өткен соң, ал академиялық финалы бар, ал академиялық білімі бар, алкогольсіз, құтқару жұмыстарын бақылау үшін жер сілкінісі аймағына ұшып кетті.Көп ұзамай Денсаулық сақтау министрлігі ол Учуан округіне он жедел медициналық көмек жібергенін айтты.Сол күні Чэнду әскери аймақтық командасы Wechuan County-де апаттарды жеңілдетуге көмектесетін 50, 000 әскер мен қарулы полицияның командасы жіберілді.Алайда, рельефтің арқасында жер сілкінісі эпицентрінің жақын орналасуына және жақын аралыққа байланысты сарбаздар провинцияның ауылдық аймақтарына көмек алу өте қиын болды.",Чэнду әскери күштері қанша әскер жіберді?,"50, 000",455,462
"Бас хатшы мен президент Ху Цзиньтао апаттарға жауап тез болатынын мәлімдеді.Жер сілкінісі болғаннан кейін 90 минут өткен соң, ал академиялық финалы бар, ал академиялық білімі бар, алкогольсіз, құтқару жұмыстарын бақылау үшін жер сілкінісі аймағына ұшып кетті.Көп ұзамай Денсаулық сақтау министрлігі ол Учуан округіне он жедел медициналық көмек жібергенін айтты.Сол күні Чэнду әскери аймақтық командасы Wechuan County-де апаттарды жеңілдетуге көмектесетін 50, 000 әскер мен қарулы полицияның командасы жіберілді.Алайда, рельефтің арқасында жер сілкінісі эпицентрінің жақын орналасуына және жақын аралыққа байланысты сарбаздар провинцияның ауылдық аймақтарына көмек алу өте қиын болды.","Жер сілкінісінен кейін жер сілкінісі болғаннан кейін, ол жаққа дейін, бұл аймаққа бара жатыр ма?",90 минуттан кейін,pass,pass
"Бас хатшы мен президент Ху Цзиньтао апаттарға жауап тез болатынын мәлімдеді.Жер сілкінісі болғаннан кейін 90 минут өткен соң, ал академиялық финалы бар, ал академиялық білімі бар, алкогольсіз, құтқару жұмыстарын бақылау үшін жер сілкінісі аймағына ұшып кетті.Көп ұзамай Денсаулық сақтау министрлігі ол Учуан округіне он жедел медициналық көмек жібергенін айтты.Сол күні Чэнду әскери аймақтық командасы Wechuan County-де апаттарды жеңілдетуге көмектесетін 50, 000 әскер мен қарулы полицияның командасы жіберілді.Алайда, рельефтің арқасында жер сілкінісі эпицентрінің жақын орналасуына және жақын аралыққа байланысты сарбаздар провинцияның ауылдық аймақтарына көмек алу өте қиын болды.",Учуан округіне қанша медициналық команда жіберілді?,он,317,319
"Бас хатшы мен президент Ху Цзиньтао апаттарға жауап тез болатынын мәлімдеді.Жер сілкінісі болғаннан кейін 90 минут өткен соң, ал академиялық финалы бар, ал академиялық білімі бар, алкогольсіз, құтқару жұмыстарын бақылау үшін жер сілкінісі аймағына ұшып кетті.Көп ұзамай Денсаулық сақтау министрлігі ол Учуан округіне он жедел медициналық көмек жібергенін айтты.Сол күні Чэнду әскери аймақтық командасы Wechuan County-де апаттарды жеңілдетуге көмектесетін 50, 000 әскер мен қарулы полицияның командасы жіберілді.Алайда, рельефтің арқасында жер сілкінісі эпицентрінің жақын орналасуына және жақын аралыққа байланысты сарбаздар провинцияның ауылдық аймақтарына көмек алу өте қиын болды.",Ауданға жеңілдік жұмыстары үшін қанша әскер жіберілді?,"50, 000",455,462
"Бас хатшы мен президент Ху Цзиньтао апаттарға жауап тез болатынын мәлімдеді.Жер сілкінісі болғаннан кейін 90 минут өткен соң, ал академиялық финалы бар, ал академиялық білімі бар, алкогольсіз, құтқару жұмыстарын бақылау үшін жер сілкінісі аймағына ұшып кетті.Көп ұзамай Денсаулық сақтау министрлігі ол Учуан округіне он жедел медициналық көмек жібергенін айтты.Сол күні Чэнду әскери аймақтық командасы Wechuan County-де апаттарды жеңілдетуге көмектесетін 50, 000 әскер мен қарулы полицияның командасы жіберілді.Алайда, рельефтің арқасында жер сілкінісі эпицентрінің жақын орналасуына және жақын аралыққа байланысты сарбаздар провинцияның ауылдық аймақтарына көмек алу өте қиын болды.","Рельефтен басқа, неге аймаққа жету қиын болды?",Жер сілкінісінің эпицентрінің жақындығы,pass,pass
